x,y,z
-0.385204,1.203874,-0.298713
-0.385178,1.203857,-0.298946
-0.385148,1.203957,-0.299236
-0.385108,1.204112,-0.299551
-0.385097,1.204327,-0.299885
-0.385058,1.204572,-0.300227
-0.385032,1.20476,-0.300544
-0.385035,1.205243,-0.301108
-0.384998,1.205273,-0.301278
-0.384975,1.205543,-0.301629
-0.384977,1.205951,-0.30209
-0.384947,1.206401,-0.302535
-0.384932,1.206691,-0.302885
-0.384907,1.207137,-0.303304
-0.384911,1.207603,-0.303652
-0.384909,1.208059,-0.303961
-0.384857,1.208563,-0.30424
-0.384807,1.209281,-0.304728
-0.384774,1.209968,-0.305077
-0.384767,1.210927,-0.305618
-0.384725,1.211601,-0.305909
-0.3847,1.212462,-0.306317
-0.384755,1.213353,-0.306701
-0.384678,1.214349,-0.307046
-0.384604,1.215561,-0.307539
-0.384676,1.216781,-0.307893
-0.38466,1.217842,-0.308193
-0.38464,1.219209,-0.308747
-0.384652,1.220734,-0.309201
-0.384678,1.222104,-0.309519
-0.384622,1.223706,-0.310081
-0.384722,1.225439,-0.310421
-0.384687,1.226927,-0.310709
-0.384726,1.228696,-0.311052
-0.38469,1.230585,-0.311553
-0.384778,1.232671,-0.312151
-0.384799,1.234541,-0.312335
-0.384729,1.236429,-0.312603
-0.384861,1.238904,-0.313246
-0.384853,1.240925,-0.313374
-0.384901,1.243254,-0.313906
-0.384984,1.245594,-0.31412
-0.384968,1.248067,-0.314526
-0.385119,1.250494,-0.314747
-0.385129,1.253004,-0.314794
-0.385256,1.255785,-0.315045
-0.385363,1.258628,-0.315228
-0.38543,1.26122,-0.315167
-0.385568,1.264135,-0.315133
-0.38584,1.267293,-0.31521
-0.38593,1.270294,-0.315013
-0.386097,1.27363,-0.31486
-0.386319,1.276652,-0.314571
-0.386516,1.279907,-0.314225
-0.386775,1.283218,-0.31373
-0.386983,1.286575,-0.313273
-0.387157,1.290062,-0.31268
-0.387459,1.293458,-0.312083
-0.387666,1.296861,-0.311475
-0.387997,1.300394,-0.310681
-0.388206,1.303786,-0.30983
-0.38853,1.307279,-0.308738
-0.38876,1.310731,-0.30773
-0.38907,1.314199,-0.306572
-0.389396,1.317753,-0.305506
-0.389697,1.321228,-0.304114
-0.390041,1.324604,-0.302709
-0.390302,1.328165,-0.301163
-0.390731,1.331784,-0.299746
-0.391005,1.335201,-0.297901
-0.391451,1.338729,-0.296198
-0.391771,1.34227,-0.294319
-0.392273,1.345892,-0.292341
-0.392601,1.349337,-0.290219
-0.393061,1.353045,-0.288254
-0.393556,1.356691,-0.286039
-0.394017,1.360075,-0.283479
-0.394547,1.363897,-0.281423
-0.394974,1.367046,-0.278539
-0.395496,1.370913,-0.276408
-0.395876,1.374504,-0.273832
-0.396536,1.377986,-0.271047
-0.397112,1.38139,-0.268016
-0.397586,1.384747,-0.265135
-0.398091,1.388076,-0.262145
-0.398642,1.391388,-0.259006
-0.39926,1.395082,-0.256069
-0.399709,1.398006,-0.252522
-0.400286,1.401339,-0.249248
-0.400812,1.404588,-0.245747
-0.401377,1.407785,-0.242448
-0.40179,1.410801,-0.238846
-0.402469,1.414083,-0.235128
-0.403009,1.416969,-0.231071
-0.403543,1.419924,-0.227312
-0.404033,1.422739,-0.223509
-0.404587,1.425682,-0.219324
-0.40516,1.42866,-0.215524
-0.405614,1.431168,-0.211026
-0.40611,1.433885,-0.206783
-0.406538,1.43646,-0.202508
-0.407135,1.439221,-0.198317
-0.407557,1.441495,-0.19378
-0.407965,1.443903,-0.188967
-0.408316,1.446087,-0.184498
-0.408781,1.448407,-0.179947
-0.409259,1.450613,-0.175201
-0.409684,1.452721,-0.170456
-0.410081,1.454825,-0.16566
-0.410316,1.456876,-0.161231
-0.410894,1.458839,-0.156265
-0.411294,1.460667,-0.151315
-0.411554,1.462537,-0.146802
-0.412049,1.464232,-0.141665
-0.412437,1.465844,-0.136471
-0.412785,1.467367,-0.131296
-0.413091,1.468839,-0.126099
-0.413407,1.470176,-0.120913
-0.413561,1.471425,-0.116019
-0.414014,1.472694,-0.110433
-0.414296,1.473782,-0.105207
-0.414554,1.474796,-0.099786
-0.414768,1.475597,-0.094496
-0.415012,1.476508,-0.089097
-0.415351,1.477245,-0.08379
-0.415584,1.477787,-0.078252
-0.415785,1.478461,-0.073041
-0.416067,1.47893,-0.067518
-0.416212,1.479266,-0.062228
-0.416443,1.479629,-0.056881
-0.416628,1.479825,-0.051403
-0.416853,1.479864,-0.046054
-0.417123,1.479906,-0.040607
-0.417053,1.479654,-0.034998
-0.417595,1.479552,-0.029327
-0.417805,1.479275,-0.024072
-0.417982,1.478914,-0.018523
-0.41825,1.478295,-0.012862
-0.418388,1.477697,-0.007479
-0.418596,1.476984,-0.00202
-0.418813,1.476083,0.003408
-0.419028,1.475184,0.008797
-0.419173,1.474068,0.014137
-0.4194,1.472827,0.019506
-0.419604,1.471438,0.025054
-0.419846,1.47024,0.030071
-0.419925,1.46866,0.035159
-0.420344,1.467104,0.040458
-0.420388,1.465364,0.045369
-0.420733,1.463683,0.05049
-0.420881,1.461702,0.055302
