x,y,z
-0.275879,1.301196,-0.194277
-0.275877,1.301471,-0.194693
-0.27595,1.301785,-0.195112
-0.27598,1.302035,-0.195742
-0.276,1.302464,-0.196434
-0.276047,1.302571,-0.197016
-0.276091,1.302864,-0.197522
-0.276143,1.303092,-0.197895
-0.276126,1.303327,-0.198326
-0.27617,1.303662,-0.198811
-0.276175,1.303982,-0.199452
-0.276195,1.304221,-0.19984
-0.276185,1.304545,-0.200484
-0.276178,1.304784,-0.200721
-0.276267,1.305183,-0.201146
-0.276329,1.30554,-0.201695
-0.276345,1.30576,-0.201902
-0.276398,1.30617,-0.202321
-0.276454,1.306631,-0.202715
-0.276563,1.307091,-0.203123
-0.276663,1.307539,-0.203459
-0.276669,1.307986,-0.203917
-0.27676,1.308603,-0.204224
-0.276882,1.308901,-0.204285
-0.276973,1.309385,-0.204683
-0.27711,1.309899,-0.205024
-0.277182,1.310329,-0.205317
-0.277333,1.310895,-0.205609
-0.277381,1.31139,-0.206144
-0.277424,1.311835,-0.206406
-0.277613,1.312429,-0.206885
-0.277751,1.31294,-0.207267
-0.277808,1.313366,-0.207522
-0.277943,1.313887,-0.207978
-0.278024,1.314288,-0.208319
-0.278101,1.314748,-0.208828
-0.278237,1.315043,-0.209066
-0.278363,1.315461,-0.209255
-0.278479,1.315811,-0.209593
-0.278541,1.316109,-0.209963
-0.278609,1.316401,-0.210364
-0.278822,1.316715,-0.210802
-0.278904,1.316973,-0.211159
-0.279,1.317153,-0.211447
-0.27908,1.317316,-0.2118
-0.279206,1.317425,-0.212091
-0.279301,1.317432,-0.212231
-0.279411,1.317438,-0.212527
-0.279578,1.317461,-0.212885
-0.27968,1.317427,-0.213144
-0.279807,1.317363,-0.213354
-0.279884,1.31725,-0.213704
-0.279979,1.317137,-0.213997
-0.28008,1.317015,-0.214276
-0.280166,1.316896,-0.214521
-0.280246,1.316763,-0.214664
-0.280353,1.316564,-0.214958
-0.280422,1.316405,-0.215284
-0.280585,1.316311,-0.21576
-0.280687,1.316135,-0.216018
-0.280807,1.316033,-0.216335
-0.280939,1.315901,-0.216621
-0.281049,1.31575,-0.216806
-0.281147,1.315678,-0.217124
-0.281259,1.31551,-0.217344
-0.281369,1.315399,-0.217594
-0.281477,1.315281,-0.217851
-0.281594,1.315108,-0.217963
-0.28173,1.315044,-0.218286
-0.281861,1.315015,-0.218535
-0.281991,1.314971,-0.218765
-0.282098,1.314837,-0.218867
-0.282318,1.314903,-0.219202
-0.282452,1.314888,-0.219453
-0.282595,1.314899,-0.219674
-0.282762,1.314886,-0.219933
-0.282914,1.314921,-0.220177
-0.283013,1.315001,-0.220532
-0.283137,1.315026,-0.220702
-0.283247,1.315064,-0.22086
-0.283414,1.315138,-0.221158
-0.283576,1.31522,-0.221468
-0.283631,1.315371,-0.221756
-0.283753,1.315443,-0.22197
-0.283888,1.315569,-0.222129
-0.284106,1.315563,-0.222189
-0.284269,1.315676,-0.222399
-0.284395,1.315756,-0.222605
-0.28455,1.315842,-0.222797
-0.284715,1.315936,-0.222999
-0.284842,1.316006,-0.223164
-0.284993,1.316035,-0.223255
-0.285136,1.316089,-0.223395
-0.285238,1.316103,-0.223451
-0.285358,1.31611,-0.223601
-0.285446,1.316103,-0.223795
-0.285593,1.316124,-0.223943
-0.285715,1.316118,-0.224079
-0.28584,1.316073,-0.224183
-0.285946,1.316018,-0.224359
-0.286118,1.316045,-0.224624
-0.286213,1.316021,-0.224756
-0.286309,1.315979,-0.22488
-0.286405,1.315936,-0.225001
-0.286475,1.316003,-0.225248
-0.286555,1.315959,-0.225369
-0.286676,1.315988,-0.225594
-0.286765,1.315938,-0.225724
-0.286868,1.315888,-0.225926
-0.28696,1.315852,-0.226069
-0.287105,1.315769,-0.226123
-0.287174,1.315725,-0.226266
-0.287244,1.315705,-0.226384
-0.287324,1.315669,-0.226447
-0.287402,1.315678,-0.226582
-0.287485,1.315674,-0.226669
-0.287588,1.315703,-0.226808
-0.287686,1.315771,-0.227014
-0.287732,1.315785,-0.227055
-0.287785,1.315843,-0.227239
-0.287873,1.315858,-0.227278
-0.28795,1.31591,-0.227383
-0.288045,1.315945,-0.227491
-0.288106,1.316003,-0.227616
-0.288172,1.316027,-0.227712
-0.28823,1.316059,-0.227812
-0.2883,1.316043,-0.227972
-0.288369,1.316063,-0.228087
-0.28843,1.316081,-0.228185
-0.288513,1.31613,-0.228369
-0.288568,1.316141,-0.228476
-0.288671,1.316181,-0.228588
-0.288774,1.3162,-0.228648
-0.288808,1.31619,-0.228765
-0.288858,1.316199,-0.228865
-0.288907,1.316208,-0.228964
-0.288969,1.316213,-0.229066
-0.289014,1.316207,-0.229159
-0.289064,1.316202,-0.229259
-0.289124,1.316194,-0.229355
-0.289188,1.316174,-0.229442
-0.289244,1.316156,-0.229536
-0.28931,1.316131,-0.229625
-0.289383,1.316105,-0.229707
-0.289457,1.316034,-0.229804
-0.289525,1.315992,-0.229869
-0.289593,1.315935,-0.22994
-0.289639,1.315854,-0.229924
-0.289754,1.315874,-0.230172
-0.289831,1.31582,-0.230227
-0.28992,1.315723,-0.230307
-0.290019,1.315639,-0.230361
-0.290088,1.315564,-0.230413
-0.290164,1.315491,-0.23046
-0.29023,1.315371,-0.230527
-0.29034,1.315266,-0.230623
-0.290417,1.315199,-0.230657
-0.290495,1.315124,-0.230703
-0.290561,1.315055,-0.230749
-0.290642,1.314987,-0.230798
-0.290709,1.314926,-0.230843
-0.290782,1.31486,-0.230869
-0.290851,1.314782,-0.230902
-0.290915,1.314729,-0.230938
-0.290949,1.314693,-0.230938
-0.291016,1.31458,-0.230904
-0.291064,1.314479,-0.230834
-0.291106,1.31439,-0.230882
-0.291191,1.314519,-0.231031
-0.291284,1.314393,-0.231007
-0.291341,1.314266,-0.230867
-0.291382,1.314184,-0.230913
-0.291473,1.314163,-0.230995
-0.291526,1.314121,-0.230997
-0.291552,1.314044,-0.230911
-0.291649,1.313999,-0.231073
-0.29168,1.313889,-0.230953
-0.291724,1.313885,-0.230996
-0.291765,1.313807,-0.230951
-0.291805,1.313774,-0.230953
-0.29185,1.313748,-0.230959
-0.291881,1.313712,-0.230959
-0.291923,1.31368,-0.230949
-0.291953,1.313652,-0.230954
-0.291997,1.313686,-0.23108
-0.291994,1.313591,-0.230944
-0.292002,1.31356,-0.230945
-0.292018,1.313536,-0.23095
-0.292008,1.313501,-0.230956
-0.292014,1.313495,-0.230958
-0.292003,1.313449,-0.230965
-0.291996,1.313429,-0.230966
-0.291986,1.313404,-0.230962
-0.291985,1.313412,-0.231047
-0.291937,1.313367,-0.230956
-0.291936,1.313363,-0.23103
-0.291881,1.31332,-0.230949
-0.29187,1.313325,-0.23102
-0.291834,1.313314,-0.231019
-0.291779,1.313302,-0.231022
-0.291709,1.313251,-0.230931
-0.291668,1.313292,-0.231069
-0.291564,1.313236,-0.230981
-0.29154,1.313255,-0.231069
-0.2914,1.313194,-0.231058
-0.291343,1.313153,-0.231092
-0.291262,1.313184,-0.231166
-0.291153,1.313161,-0.231172
-0.29099,1.313081,-0.231073
-0.290881,1.313052,-0.231077
-0.2908,1.31305,-0.231039
-0.290696,1.313041,-0.231038
-0.290609,1.312996,-0.230959
-0.290473,1.312973,-0.23096
-0.290348,1.312951,-0.230958
-0.290194,1.312914,-0.230954
-0.290069,1.3129,-0.230949
-0.28994,1.312924,-0.230919
-0.28981,1.312929,-0.230919
-0.289667,1.312892,-0.230921
-0.289541,1.312909,-0.23093
-0.289401,1.312932,-0.230939
-0.28927,1.31295,-0.230942
-0.289143,1.312971,-0.230957
-0.289018,1.313,-0.230986
-0.28884,1.313059,-0.230964
-0.288733,1.313088,-0.231001
-0.288589,1.313141,-0.231009
-0.288459,1.313186,-0.231026
-0.288343,1.313228,-0.231057
-0.288204,1.313266,-0.231101
-0.288089,1.313314,-0.231155
-0.287976,1.313366,-0.231208
-0.287886,1.313439,-0.231273
-0.2878,1.313503,-0.231333
-0.287708,1.313581,-0.2314
-0.287622,1.313682,-0.231538
-0.28758,1.31392,-0.231791
-0.287565,1.313945,-0.231745
-0.287551,1.314042,-0.231849
-0.287572,1.314152,-0.23194
-0.287632,1.314278,-0.232044
-0.287692,1.314404,-0.232148
-0.287765,1.314351,-0.232078
-0.287905,1.314519,-0.232225
-0.288054,1.314691,-0.232517
-0.288226,1.314857,-0.232565
-0.288472,1.315044,-0.232631
-0.288726,1.315198,-0.232771
-0.28907,1.315407,-0.232931
-0.28943,1.315643,-0.233172
-0.289856,1.315832,-0.233438
-0.29027,1.316009,-0.233538
-0.290802,1.316262,-0.233714
-0.291361,1.316536,-0.233949
-0.291975,1.316778,-0.234081
-0.292686,1.317048,-0.234319
-0.293456,1.317432,-0.234587
-0.294223,1.317735,-0.234704
-0.295092,1.318109,-0.234905
-0.296052,1.318419,-0.235032
-0.297161,1.318831,-0.235281
-0.298277,1.319261,-0.23546
-0.299473,1.319673,-0.235744
-0.300682,1.32007,-0.235929
-0.302088,1.320686,-0.236131
-0.303519,1.321188,-0.236181
-0.305036,1.321797,-0.236373
-0.306724,1.322475,-0.23664
-0.308323,1.323022,-0.236819
-0.310109,1.323626,-0.236823
-0.311966,1.324426,-0.237045
-0.31398,1.325253,-0.237288
-0.316021,1.325965,-0.23735
-0.318208,1.326676,-0.237367
-0.320437,1.327597,-0.237528
-0.322806,1.328508,-0.237697
-0.325342,1.329489,-0.237949
-0.32784,1.330304,-0.23795
-0.330548,1.331318,-0.238062
-0.333271,1.332252,-0.238231
-0.336177,1.333268,-0.238281
-0.339096,1.33428,-0.238389
-0.342217,1.335272,-0.238433
-0.345295,1.336329,-0.238528
-0.348667,1.337335,-0.23865
-0.352016,1.338394,-0.238673
-0.355443,1.339423,-0.238859
-0.358993,1.340494,-0.238725
-0.362702,1.341612,-0.238978
-0.366462,1.342663,-0.238951
-0.370304,1.343802,-0.239129
-0.374298,1.344807,-0.239
-0.378383,1.346017,-0.239117
-0.382481,1.347052,-0.239224
-0.386724,1.348125,-0.239102
-0.391087,1.349338,-0.239447
-0.395475,1.350362,-0.239336
-0.400158,1.351555,-0.239562
